asv,sample,counts,presence,local,type,species,taxa
ASV_76,FORAGERSBBG1,0,0,BG,FORAGER,SB,Sphingobacterium
ASV_76,HONEYSDBP1,0,0,BP,HONEY,SD,Sphingobacterium
ASV_484,NURSESDSC1,942,0,SC,NURSE,SD,Bifidobacterium
ASV_30,NURSESBSC2,0,0,SC,NURSE,SB,Klebsiella
ASV_62,POLLENSDBG1,16,0,BG,POLLEN,SD,Acinetobacter
ASV_484,GUARDSDSC1,1003,0,SC,GUARD,SD,Bifidobacterium
ASV_14,LARVAESBSC2,0,0,SC,LARVAE,SB,Raoultella
ASV_76,GUARDSDBG1,426,0,BG,GUARD,SD,Sphingobacterium
ASV_12,HONEYSBBP4,61,1,BP,HONEY,SB,Pectinatus
ASV_55,POLLENSDSC2,0,0,SC,POLLEN,SD,Bombilactobacillus
ASV_17,GUARDSDSC2,992,1,SC,GUARD,SD,Floricoccus
ASV_60,POLLENSDSC2,182,0,SC,POLLEN,SD,Enterobacterales
ASV_14,POLLENSBBP2,5,1,BP,POLLEN,SB,Raoultella
ASV_55,LARVAESBBP2,0,0,BP,LARVAE,SB,Bombilactobacillus
ASV_96,POLLENSDBP1,0,0,BP,POLLEN,SD,Micrococcaceae
ASV_14,HONEYSBBG1,129,1,BG,HONEY,SB,Raoultella
ASV_439,FOODSDSC2,0,0,SC,FOOD,SD,Bifidobacteriaceae
ASV_44,GUARDSDSC2,0,0,SC,GUARD,SD,Erysipelatoclostridium
ASV_14,FOODSDBG1,0,0,BG,FOOD,SD,Raoultella
ASV_55,LARVAE1SDBP2,0,0,BP,LARVAE,SD,Bombilactobacillus
ASV_439,GUARDSDSC2,1739,0,SC,GUARD,SD,Bifidobacteriaceae
ASV_99,NURSESBSC1,25323,0,SC,NURSE,SB,Lactobacillaceae
ASV_86,LARVAE1SDBP2,221,0,BP,LARVAE,SD,Acetobacteraceae
ASV_12,NURSESDBP1,2008,1,BP,NURSE,SD,Pectinatus
ASV_85,GUARDSBSC1,0,0,SC,GUARD,SB,Tyzzerella
ASV_83,NURSESDBP2,0,0,BP,NURSE,SD,Corynebacterium
ASV_12,FORAGERSDSC2,3296,1,SC,FORAGER,SD,Pectinatus
ASV_14,POLLENSDSC2,153,1,SC,POLLEN,SD,Raoultella
ASV_543,FOODSBSC2,0,0,SC,FOOD,SB,Taibaiella
ASV_76,GUARDSBSC2,32,1,SC,GUARD,SB,Sphingobacterium
ASV_93,FOODSBBG2,0,0,BG,FOOD,SB,Lactobacillus
ASV_44,NURSESBBG2,0,0,BG,NURSE,SB,Erysipelatoclostridium
ASV_30,NURSESBBP3,0,0,BP,NURSE,SB,Klebsiella
ASV_484,FOODSDBG1,0,0,BG,FOOD,SD,Bifidobacterium
ASV_543,FORAGERSDBG1,2,0,BG,FORAGER,SD,Taibaiella
ASV_60,POLLENSDBG2,32,0,BG,POLLEN,SD,Enterobacterales
ASV_12,POLLENSDBG1,0,0,BG,POLLEN,SD,Pectinatus
ASV_83,FORAGERSDBP1,0,0,BP,FORAGER,SD,Corynebacterium
ASV_55,HONEYSBBP3,41,0,BP,HONEY,SB,Bombilactobacillus
ASV_62,POLLENSDSC2,24,1,SC,POLLEN,SD,Acinetobacter
ASV_99,NURSESBBP4,13682,0,BP,NURSE,SB,Lactobacillaceae
ASV_96,POLLENSDBP2,4,0,BP,POLLEN,SD,Micrococcaceae
ASV_99,NURSESBBG1,18601,0,BG,NURSE,SB,Lactobacillaceae
ASV_83,NURSESBBG1,0,0,BG,NURSE,SB,Corynebacterium
ASV_93,FOODSDBG1,3,0,BG,FOOD,SD,Lactobacillus
ASV_484,HONEYSBBG1,0,0,BG,HONEY,SB,Bifidobacterium
ASV_30,HONEYSDBP1,33,1,BP,HONEY,SD,Klebsiella
ASV_14,FOODSBSC1,17,1,SC,FOOD,SB,Raoultella
ASV_93,HONEYSBBG1,8,0,BG,HONEY,SB,Lactobacillus
ASV_60,FORAGERSDBG1,4,0,BG,FORAGER,SD,Enterobacterales
ASV_543,FOODSBBP3,0,0,BP,FOOD,SB,Taibaiella
ASV_14,HONEYSDBG2,227,1,BG,HONEY,SD,Raoultella
ASV_93,FORAGERSDBG2,2594,0,BG,FORAGER,SD,Lactobacillus
ASV_96,FOODSDSC1,0,0,SC,FOOD,SD,Micrococcaceae
ASV_484,LARVAE1SDBP4,0,0,BP,LARVAE,SD,Bifidobacterium
ASV_543,FORAGERSBSC1,0,0,SC,FORAGER,SB,Taibaiella
ASV_484,FORAGERSBBP4,509,0,BP,FORAGER,SB,Bifidobacterium
ASV_44,HONEYSDBP1,2,0,BP,HONEY,SD,Erysipelatoclostridium
